NameKey,College Name,QuotaCanon,CategoryBase,IsPwD,Year,RoundTag,ClosingRank
ESIC MEDICAL COLLEGE GULBARGA ESIC MEDICAL COLLEGE SEDAM ROAD GULBARGA KARNATAKA 585106,"ESIC Medical College, Gulbarga,ESIC MEDICAL COLLEGE SEDAM ROAD
GULBARGA, Karnataka, 585106",EMPLOYEES STATE INSURANCE SCHEME(ESI),GENERAL,False,2025,R1,31204
ESIC MEDICAL COLLEGE GULBARGA ESIC MEDICAL COLLEGE SEDAM ROAD GULBARGA KARNATAKA 585106,"ESIC Medical College, Gulbarga,ESIC MEDICAL COLLEGE SEDAM ROAD
GULBARGA, Karnataka, 585106",EMPLOYEES STATE INSURANCE SCHEME(ESI),OBC,False,2025,R1,34956
ESIC MEDICAL COLLEGE GULBARGA ESIC MEDICAL COLLEGE SEDAM ROAD GULBARGA KARNATAKA 585106,"ESIC Medical College, Gulbarga,ESIC MEDICAL COLLEGE SEDAM ROAD
GULBARGA, Karnataka, 585106",EMPLOYEES STATE INSURANCE SCHEME(ESI),SC,False,2025,R1,186219
ESIC MEDICAL COLLEGE GULBARGA ESIC MEDICAL COLLEGE SEDAM ROAD GULBARGA KARNATAKA 585106,"ESIC Medical College, Gulbarga,ESIC MEDICAL COLLEGE SEDAM ROAD
GULBARGA, Karnataka, 585106",EMPLOYEES STATE INSURANCE SCHEME(ESI),ST,False,2025,R1,432012
ESIC MEDICAL COLLEGE HYDERBAD SANATHNAGAR HYDERABAD TELANGANA 500038,"ESIC Medical College, Hyderbad,Sanathnagar, Hyderabad, Telangana, 500038",AIQ,EWS,True,,R1,991459
ESIC MEDICAL COLLEGE HYDERBAD SANATHNAGAR HYDERABAD TELANGANA 500038,"ESIC Medical College, Hyderbad,Sanathnagar, Hyderabad, Telangana, 500038",AIQ,OBC,True,,R1,672196
ESIC MEDICAL COLLEGE HYDERBAD SANATHNAGAR HYDERABAD TELANGANA 500038,"ESIC Medical College, Hyderbad,Sanathnagar, Hyderabad, Telangana, 500038",AIQ,ST,True,,R1,1017997
ESIC MEDICAL COLLEGE HYDERBAD SANATHNAGAR HYDERABAD TELANGANA 500038,"ESIC Medical College, Hyderbad,Sanathnagar, Hyderabad, Telangana, 500038",EMPLOYEES STATE INSURANCE SCHEME(ESI),EWS,False,2025,R1,29767
ESIC MEDICAL COLLEGE HYDERBAD SANATHNAGAR HYDERABAD TELANGANA 500038,"ESIC Medical College, Hyderbad,Sanathnagar, Hyderabad, Telangana, 500038",EMPLOYEES STATE INSURANCE SCHEME(ESI),GENERAL,False,2025,R1,26336
ESIC MEDICAL COLLEGE HYDERBAD SANATHNAGAR HYDERABAD TELANGANA 500038,"ESIC Medical College, Hyderbad,Sanathnagar, Hyderabad, Telangana, 500038",EMPLOYEES STATE INSURANCE SCHEME(ESI),OBC,False,2025,R1,30342
ESIC MEDICAL COLLEGE HYDERBAD SANATHNAGAR HYDERABAD TELANGANA 500038,"ESIC Medical College, Hyderbad,Sanathnagar, Hyderabad, Telangana, 500038",EMPLOYEES STATE INSURANCE SCHEME(ESI),SC,False,2025,R1,146259
ESIC MEDICAL COLLEGE HYDERBAD SANATHNAGAR HYDERABAD TELANGANA 500038,"ESIC Medical College, Hyderbad,Sanathnagar, Hyderabad, Telangana, 500038",EMPLOYEES STATE INSURANCE SCHEME(ESI),ST,False,2025,R1,205499
ESIC PGIMSR JOKA KOLKATA WB DIAMOND HARBOUR ROAD POST OFFICE JOKA KOLKATA 700104 WEST BENGAL 700104,"ESIC PGIMSR, Joka, Kolkata, WB,DIAMOND HARBOUR ROAD POST OFFICE JOKA
KOLKATA 700104, West Bengal, 700104",EMPLOYEES STATE INSURANCE SCHEME(ESI),EWS,False,2025,R1,38376
ESIC PGIMSR JOKA KOLKATA WB DIAMOND HARBOUR ROAD POST OFFICE JOKA KOLKATA 700104 WEST BENGAL 700104,"ESIC PGIMSR, Joka, Kolkata, WB,DIAMOND HARBOUR ROAD POST OFFICE JOKA
KOLKATA 700104, West Bengal, 700104",EMPLOYEES STATE INSURANCE SCHEME(ESI),GENERAL,False,2025,R1,31648
ESIC PGIMSR JOKA KOLKATA WB DIAMOND HARBOUR ROAD POST OFFICE JOKA KOLKATA 700104 WEST BENGAL 700104,"ESIC PGIMSR, Joka, Kolkata, WB,DIAMOND HARBOUR ROAD POST OFFICE JOKA
KOLKATA 700104, West Bengal, 700104",EMPLOYEES STATE INSURANCE SCHEME(ESI),OBC,False,2025,R1,35494
ESIC PGIMSR JOKA KOLKATA WB DIAMOND HARBOUR ROAD POST OFFICE JOKA KOLKATA 700104 WEST BENGAL 700104,"ESIC PGIMSR, Joka, Kolkata, WB,DIAMOND HARBOUR ROAD POST OFFICE JOKA
KOLKATA 700104, West Bengal, 700104",EMPLOYEES STATE INSURANCE SCHEME(ESI),SC,False,2025,R1,190094
ESIC PGIMSR JOKA KOLKATA WB DIAMOND HARBOUR ROAD POST OFFICE JOKA KOLKATA 700104 WEST BENGAL 700104,"ESIC PGIMSR, Joka, Kolkata, WB,DIAMOND HARBOUR ROAD POST OFFICE JOKA
KOLKATA 700104, West Bengal, 700104",EMPLOYEES STATE INSURANCE SCHEME(ESI),ST,False,2025,R1,468396
FAKHRUDDIN ALI AHMED MEDICAL COLLEGE BARPETA JANIA ROAD JOTIGAON BARPETA ASSAM ASSAM 781301,"Fakhruddin Ali Ahmed Medical College, Barpeta,Jania Road, Jotigaon, Barpeta, Assam, Assam, 781301",AIQ,GENERAL,True,2025,R1,351903
G S V M MEDICAL COLLEGE KANPUR G S V M MEDICAL COLLEGE KANPUR SWAROOP NAGAR KANPUR U P 208002 UTTAR PRADESH 208002,"G.S.V.M. MEDICAL COLLEGE, KANPUR,G.S.V.M Medical College Kanpur Swaroop Nagar Kanpur
U.P 208002, Uttar Pradesh, 208002",AIQ,GENERAL,True,2025,R1,226744
G S V M MEDICAL COLLEGE KANPUR G S V M MEDICAL COLLEGE KANPUR SWAROOP NAGAR KANPUR U P 208002 UTTAR PRADESH 208002,"G.S.V.M. MEDICAL COLLEGE, KANPUR,G.S.V.M Medical College Kanpur Swaroop Nagar Kanpur
U.P 208002, Uttar Pradesh, 208002",AIQ,SC,True,,R1,655619
GADAG INSTITUTE OF MEDICAL SCIENCES GADAG INSTITUTE OF MEDICAL SCIENCES GADAG MALLASAMUDRA GADAG 582103 KARNATAKA 582103,"Gadag Institute of Medical Sciences,GADAG INSTITUTE OF MEDICAL SCIENCES GADAG Mallasamudra,Gadag-582103, Karnataka, 582103",AIQ,GENERAL,True,,R1,634448
GAJRA RAJA MEDICAL COLLEGE GWALIOR VEER SAVARKAR ROAD GWALIOR MADHYA PRADESH 474009,"GAJRA RAJA MEDICAL COLLEGE, GWALIOR,VEER SAVARKAR ROAD, GWALIOR,
Madhya Pradesh, 474009",AIQ,GENERAL,True,2025,R1,179687
GANDHI MEDICAL COLLEGE BHOPAL ROYAL MARKET SULTANIA ROAD BHOPAL MADHYA PRADESH 462001,"GANDHI MEDICAL COLLEGE, BHOPAL,Royal Market Sultania Road Bhopal, Madhya Pradesh, 462001",AIQ,GENERAL,True,2025,R1,105308
GANDHI MEDICAL COLLEGE BHOPAL ROYAL MARKET SULTANIA ROAD BHOPAL MADHYA PRADESH 462001,"GANDHI MEDICAL COLLEGE, BHOPAL,Royal Market Sultania Road Bhopal, Madhya Pradesh, 462001",AIQ,OBC,True,2025,R1,220462
GITAM INSTITUE OF MED SCE AND RES VISAKHAPATNAM GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM RUSHIKONDA VISAKHAPATNAM ANDHRA PRADESH 530045,"GITAM Institue of Med. Sce. and Res., Visakhapatnam,Gandhi Institute of Technology and Management (GITAM), Rushikonda, Visakhapatnam, Andhra Pradesh, 530045",NON-RESIDENT INDIAN,GENERAL,False,,R1,1091369
GMC AZAMGARH UP GOVERNMENT MEDICAL COLLEGE AND SUPER FACILITY HOSPITAL CHAKRAPANPUR POST OFFICE KANAILA AZAMGARH UTTAR PRADESH 276128,"GMC, Azamgarh, UP,Government Medical College and Super Facility Hospital Chakrapanpur Post Office-Kanaila, Azamgarh, Uttar Pradesh, 276128",AIQ,OBC,True,2025,R1,425712
GMC DAUSA RAJASTHAN GMC DAUSA MITRAPURA BHANDAREJ MOD DAUSA RAJASTHAN 303303,"GMC DAUSA RAJASTHAN,GMC DAUSA MITRAPURA BHANDAREJ MOD DAUSA,
Rajasthan, 303303",AIQ,GENERAL,True,,R1,561097
GMC JANGAON GMC JANGAON GMAIL COM TELANGANA 506167,"GMC Jangaon,gmc.jangaon@gmail.com, Telangana, 506167",AIQ,GENERAL,True,,R1,557153
GMC RAJAMAHENDRAVARAM GOVERNMENT MEDICAL COLLEGE D NO 55 4 1 CENTRAL JAIL ROAD NEAR CTRI RAJAMAHENDRAVARAM ANDHRA PRADESH 533105,"GMC, Rajamahendravaram,Government Medical College,D.No.55-4-1,Central Jail Road
,Near CTRI, Rajamahendravaram., Andhra Pradesh, 533105",AIQ,EWS,True,,R1,899074
GMC RAJAMAHENDRAVARAM GOVERNMENT MEDICAL COLLEGE D NO 55 4 1 CENTRAL JAIL ROAD NEAR CTRI RAJAMAHENDRAVARAM ANDHRA PRADESH 533105,"GMC, Rajamahendravaram,Government Medical College,D.No.55-4-1,Central Jail Road
,Near CTRI, Rajamahendravaram., Andhra Pradesh, 533105",AIQ,GENERAL,True,,R1,828030
GMC SHAHJHANPUR AUTONOMOUS STATE MEDICAL COLLEGE ALLIED PANDIT RAM PRASAD BISMIL HOSPITAL SHAHJAHANPUR UTTAR PRADESH UTTAR PRADESH 242001,"GMC, Shahjhanpur,AUTONOMOUS STATE MEDICAL COLLEGE ALLIED PANDIT RAM PRASAD BISMIL HOSPITAL SHAHJAHANPUR UTTAR PRADESH, Uttar
Pradesh, 242001",AIQ,EWS,True,,R1,940973
GMC SHAHJHANPUR AUTONOMOUS STATE MEDICAL COLLEGE ALLIED PANDIT RAM PRASAD BISMIL HOSPITAL SHAHJAHANPUR UTTAR PRADESH UTTAR PRADESH 242001,"GMC, Shahjhanpur,AUTONOMOUS STATE MEDICAL COLLEGE ALLIED PANDIT RAM PRASAD BISMIL HOSPITAL SHAHJAHANPUR UTTAR PRADESH, Uttar
Pradesh, 242001",AIQ,GENERAL,True,,R1,574047
GMERS MEDICAL COLLEGE MORBI GIBSON MIDDLE SCHOOL OPP RAILWAY STATION MORBI GUJARAT 363641,"GMERS Medical College, Morbi,Gibson middle school, Opp railway station, Morbi, Gujarat, 363641",AIQ,GENERAL,True,,R1,702071
GMERS MEDICAL COLLEGE PORBANDAR BEHIND ITI AND NAVODAY VIDYALAY DHARAMPUR PORBANDAR GUJARAT 360578,"GMERS Medical College, Porbandar,Behind ITI and Navoday Vidyalay, Dharampur, Porbandar, Gujarat, 360578",AIQ,GENERAL,True,,R1,646606
GMERS MEDICAL COLLEGE PORBANDAR BEHIND ITI AND NAVODAY VIDYALAY DHARAMPUR PORBANDAR GUJARAT 360578,"GMERS Medical College, Porbandar,Behind ITI and Navoday Vidyalay, Dharampur, Porbandar, Gujarat, 360578",AIQ,OBC,True,,R1,697486
GOA MEDICAL COLLEGE PANAJI RAJIV GANDHI MEDICAL COMPLEX BAMBOLIM GOA GOA 403202,"GOA MEDICAL COLLEGE, PANAJI,RAJIV GANDHI MEDICAL COMPLEX, BAMBOLIM, GOA, Goa, 403202",AIQ,GENERAL,True,2025,R1,391095
GOVERMENT MEDICAL COLLEGE NANDURBAR MAHARARASTRA DISTRICT CIVIL HOSPITAL CAMPUS SAKRI ROAD NANDURBAR MAHARASHTRA 425412,"GOVERMENT MEDICAL COLLEGE NANDURBAR MAHARARASTRA,DISTRICT CIVIL HOSPITAL CAMPUS SAKRI ROAD NANDURBAR, Maharashtra, 425412",AIQ,GENERAL,True,,R1,483845
GOVERNMENT DOON MEDCIAL COLLEGE DEHRADUN GOVERNMENT DOON MEDICAL COLLEGE DEHRAKHAS PATEL NAGAR DEHRADUN 248001 UTTARAKHAND 248001,"Government Doon Medcial College, Dehradun,Government Doon Medical College, Dehrakhas Patel Nagar, Dehradun 248001, Uttarakhand, 248001",AIQ,EWS,True,,R1,973538
GOVERNMENT DOON MEDCIAL COLLEGE DEHRADUN GOVERNMENT DOON MEDICAL COLLEGE DEHRAKHAS PATEL NAGAR DEHRADUN 248001 UTTARAKHAND 248001,"Government Doon Medcial College, Dehradun,Government Doon Medical College, Dehrakhas Patel Nagar, Dehradun 248001, Uttarakhand, 248001",AIQ,OBC,True,,R1,665001
GOVERNMENT KILPAUK MEDICAL COLLEGE CHENNAI NO 822 EVR PERIYAR SALAI KILPAUK CHENNAI TAMIL NADU 600010,"GOVT. KILPAUK MEDICAL COLLEGE,CHENNAI,No. 822, EVR Periyar salai ,
Kilpauk,Chennai, Tamil Nadu, 600010",AIQ,OBC,True,2025,R1,442807
GOVERNMENT MEDCIAL COLLEGE GONDIA NEAR NEHRU CHOWK K T S HOSPITAL CAMPUS GONDIA MAHARASHTRA 441601,"Government Medcial College, Gondia,NEAR NEHRU CHOWK, K.T.S. HOSPITAL CAMPUS, GONDIA., Maharashtra, 441601",AIQ,OBC,True,,R1,642727
GOVERNMENT MEDICAL COLLEGE AKOLA COLLECTOR OFFICE ROAD NEAR ASHOK WATIKA AKOLA STATE MAHARASHTRA PIN 444001 MAHARASHTRA 444001,"GOVERNMENT MEDICAL COLLEGE, AKOLA,Collector Office Road, Near Ashok Watika, Akola. State Maharashtra. Pin 444001, Maharashtra, 444001",AIQ,EWS,True,,R1,785592
GOVERNMENT MEDICAL COLLEGE AKOLA COLLECTOR OFFICE ROAD NEAR ASHOK WATIKA AKOLA STATE MAHARASHTRA PIN 444001 MAHARASHTRA 444001,"GOVERNMENT MEDICAL COLLEGE, AKOLA,Collector Office Road, Near Ashok Watika, Akola. State Maharashtra. Pin 444001, Maharashtra, 444001",AIQ,GENERAL,True,2025,R1,301170
GOVERNMENT MEDICAL COLLEGE AKOLA COLLECTOR OFFICE ROAD NEAR ASHOK WATIKA AKOLA STATE MAHARASHTRA PIN 444001 MAHARASHTRA 444001,"GOVERNMENT MEDICAL COLLEGE, AKOLA,Collector Office Road, Near Ashok Watika, Akola. State Maharashtra. Pin 444001, Maharashtra, 444001",AIQ,OBC,True,2025,R1,325372
GOVERNMENT MEDICAL COLLEGE AMRITSAR CIRCULAR ROAD AMRITSAR 143001 PUNJAB 143001,"GOVT.MEDICAL COLLEGE, AMRITSAR,CIRCULAR ROAD, AMRITSAR-143001,
Punjab, 143001",AIQ,EWS,False,2025,R1,9124
GOVERNMENT MEDICAL COLLEGE AMRITSAR CIRCULAR ROAD AMRITSAR 143001 PUNJAB 143001,"GOVT.MEDICAL COLLEGE, AMRITSAR,CIRCULAR ROAD, AMRITSAR-143001,
Punjab, 143001",AIQ,GENERAL,False,2025,R1,5197
GOVERNMENT MEDICAL COLLEGE AMRITSAR CIRCULAR ROAD AMRITSAR 143001 PUNJAB 143001,"GOVT.MEDICAL COLLEGE, AMRITSAR,CIRCULAR ROAD, AMRITSAR-143001,
Punjab, 143001",AIQ,OBC,False,2025,R1,9023
GOVERNMENT MEDICAL COLLEGE AMRITSAR CIRCULAR ROAD AMRITSAR 143001 PUNJAB 143001,"GOVT.MEDICAL COLLEGE, AMRITSAR,CIRCULAR ROAD, AMRITSAR-143001,
Punjab, 143001",AIQ,OBC,True,2025,R1,394311
GOVERNMENT MEDICAL COLLEGE AMRITSAR CIRCULAR ROAD AMRITSAR 143001 PUNJAB 143001,"GOVT.MEDICAL COLLEGE, AMRITSAR,CIRCULAR ROAD, AMRITSAR-143001,
Punjab, 143001",AIQ,SC,False,2025,R1,52382
GOVERNMENT MEDICAL COLLEGE AMRITSAR CIRCULAR ROAD AMRITSAR 143001 PUNJAB 143001,"GOVT.MEDICAL COLLEGE, AMRITSAR,CIRCULAR ROAD, AMRITSAR-143001,
Punjab, 143001",AIQ,ST,False,2025,R1,84935
GOVERNMENT MEDICAL COLLEGE ANANTNAG J K VERINAG ROAD DIALGAM ANANTNAG JAMMU AND KASHMIR 192210,"GOVERNMENT MEDICAL COLLEGE, ANANTNAG J&K,VERINAG ROAD DIALGAM
ANANTNAG, Jammu And Kashmir, 192210",AIQ,EWS,False,2025,R1,18738
GOVERNMENT MEDICAL COLLEGE ANANTNAG J K VERINAG ROAD DIALGAM ANANTNAG JAMMU AND KASHMIR 192210,"GOVERNMENT MEDICAL COLLEGE, ANANTNAG J&K,VERINAG ROAD DIALGAM
ANANTNAG, Jammu And Kashmir, 192210",AIQ,GENERAL,False,2025,R1,12163
GOVERNMENT MEDICAL COLLEGE ANANTNAG J K VERINAG ROAD DIALGAM ANANTNAG JAMMU AND KASHMIR 192210,"GOVERNMENT MEDICAL COLLEGE, ANANTNAG J&K,VERINAG ROAD DIALGAM
ANANTNAG, Jammu And Kashmir, 192210",AIQ,OBC,False,2025,R1,17423
GOVERNMENT MEDICAL COLLEGE ANANTNAG J K VERINAG ROAD DIALGAM ANANTNAG JAMMU AND KASHMIR 192210,"GOVERNMENT MEDICAL COLLEGE, ANANTNAG J&K,VERINAG ROAD DIALGAM
ANANTNAG, Jammu And Kashmir, 192210",AIQ,OBC,True,,R1,947809
GOVERNMENT MEDICAL COLLEGE ANANTNAG J K VERINAG ROAD DIALGAM ANANTNAG JAMMU AND KASHMIR 192210,"GOVERNMENT MEDICAL COLLEGE, ANANTNAG J&K,VERINAG ROAD DIALGAM
ANANTNAG, Jammu And Kashmir, 192210",AIQ,SC,False,2025,R1,85055
GOVERNMENT MEDICAL COLLEGE ANANTNAG J K VERINAG ROAD DIALGAM ANANTNAG JAMMU AND KASHMIR 192210,"GOVERNMENT MEDICAL COLLEGE, ANANTNAG J&K,VERINAG ROAD DIALGAM
ANANTNAG, Jammu And Kashmir, 192210",AIQ,ST,False,2025,R1,82029
GOVERNMENT MEDICAL COLLEGE ANANTNAG VERINAG ROAD DIALGAM ANANTNAG 192210 JAMMU AND KASHMIR 192210,"Government Medical College, Anantnag,verinag Road Dialgam Anantnag 192210, Jammu And Kashmir, 192210",AIQ,GENERAL,True,,R1,582737
GOVERNMENT MEDICAL COLLEGE AND ESIC HOSPITAL COIMBATORE KAMARAJAR ROAD VARADHARAJAPURAM SINGANALLUR COIMBATORE TAMIL NADU 641015,"Government Medical College and ESIC Hospital, Coimbatore,KAMARAJAR ROAD, VARADHARAJAPURAM, SINGANALLUR, COIMBATORE, Tamil Nadu, 641015",AIQ,GENERAL,True,,R1,686036
GOVERNMENT MEDICAL COLLEGE AND ESIC HOSPITAL COIMBATORE KAMARAJAR ROAD VARADHARAJAPURAM SINGANALLUR COIMBATORE TAMIL NADU 641015,"Government Medical College and ESIC Hospital, Coimbatore,KAMARAJAR ROAD, VARADHARAJAPURAM, SINGANALLUR, COIMBATORE, Tamil Nadu, 641015",EMPLOYEES STATE INSURANCE SCHEME(ESI),EWS,False,2025,R1,39924
GOVERNMENT MEDICAL COLLEGE AND ESIC HOSPITAL COIMBATORE KAMARAJAR ROAD VARADHARAJAPURAM SINGANALLUR COIMBATORE TAMIL NADU 641015,"Government Medical College and ESIC Hospital, Coimbatore,KAMARAJAR ROAD, VARADHARAJAPURAM, SINGANALLUR, COIMBATORE, Tamil Nadu, 641015",EMPLOYEES STATE INSURANCE SCHEME(ESI),GENERAL,False,2025,R1,20293
GOVERNMENT MEDICAL COLLEGE AND ESIC HOSPITAL COIMBATORE KAMARAJAR ROAD VARADHARAJAPURAM SINGANALLUR COIMBATORE TAMIL NADU 641015,"Government Medical College and ESIC Hospital, Coimbatore,KAMARAJAR ROAD, VARADHARAJAPURAM, SINGANALLUR, COIMBATORE, Tamil Nadu, 641015",EMPLOYEES STATE INSURANCE SCHEME(ESI),GENERAL,True,,R1,558306
GOVERNMENT MEDICAL COLLEGE AND ESIC HOSPITAL COIMBATORE KAMARAJAR ROAD VARADHARAJAPURAM SINGANALLUR COIMBATORE TAMIL NADU 641015,"Government Medical College and ESIC Hospital, Coimbatore,KAMARAJAR ROAD, VARADHARAJAPURAM, SINGANALLUR, COIMBATORE, Tamil Nadu, 641015",EMPLOYEES STATE INSURANCE SCHEME(ESI),OBC,False,2025,R1,25764
GOVERNMENT MEDICAL COLLEGE AND ESIC HOSPITAL COIMBATORE KAMARAJAR ROAD VARADHARAJAPURAM SINGANALLUR COIMBATORE TAMIL NADU 641015,"Government Medical College and ESIC Hospital, Coimbatore,KAMARAJAR ROAD, VARADHARAJAPURAM, SINGANALLUR, COIMBATORE, Tamil Nadu, 641015",EMPLOYEES STATE INSURANCE SCHEME(ESI),SC,False,2025,R1,95190
GOVERNMENT MEDICAL COLLEGE AND ESIC HOSPITAL COIMBATORE KAMARAJAR ROAD VARADHARAJAPURAM SINGANALLUR COIMBATORE TAMIL NADU 641015,"Government Medical College and ESIC Hospital, Coimbatore,KAMARAJAR ROAD, VARADHARAJAPURAM, SINGANALLUR, COIMBATORE, Tamil Nadu, 641015",EMPLOYEES STATE INSURANCE SCHEME(ESI),ST,False,2025,R1,199369
GOVERNMENT MEDICAL COLLEGE AND HOSPITAL CHANDIGAR GOVERNMENT MEDICAL COLLEGE AND HOSPITAL SECTOR 32 CHANDIGARH CHANDIGARH 160030,"GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, CHANDIGAR,GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, SECTOR 32, CHANDIGARH, Chandigarh, 160030",AIQ,GENERAL,True,2025,R1,106483
